구분,1세대,1세대,1세대,1세대,1세대,1세대,2세대,2세대,2세대,2세대,3세대,3세대,4세대,4세대,4세대,기타실손,기타실손,기타실손,기타실손
기존명칭,구계약,구계약,신계약,신계약,신계약,신계약,표준화 실손(신신계약),표준화 실손(신신계약),표준화 실손(신신계약),개정실손(1601),착한실손(1704),착한실손(1704),4세대실손,4세대실손,4세대실손,유병자실손(참편한),노후실손,노후실손,노후실손
판매시기,~ 2003.09,~ 2003.09,2003.10~2009.07,2003.10~2009.07,2003.10~2009.07,2003.10~2009.07,2009.08~2015.08,"2014.01(표준형), 2015.09(선택형Ⅱ)~2015.12","2014.01(표준형), 2015.09(선택형Ⅱ)~2015.12",2016.1~2017.3,2017.4~2021.6,2017.4~2021.6,2021.07~,2021.07~,2021.07~,2018.04~,2014.08~,2014.08~,2014.08~
담보,일반상해의료비,질병입원의료비,일반상해의료비,질병입원의료비 80%,질병입/통원,상해입/통원,"(선택형)상해∙질병실손의료비
(입/통원)","(표준형)상해∙질병실손의료비
(입/통원)","(선택형Ⅱ)상해∙질병실손의료비
(입/통원)","(표준형)실손의료비(입/통원)
(선택형Ⅱ)실손의료비(입/통원)",기본형실손(상해∙질병),비급여 특약형,기본형(상해∙질병 급여형),특약형(상해∙질병 비급여형),특약형(3대비급여형),"유병력자 실손의료비
(상해∙질병입원/외래형)",기본형(상해∙질병형),특약형(요양병원),특약형(상급병실차액)
가입(보상)한도,계약별 상이,500/800만원,가입한도 1천만원~1억,500/800만원,"○입원: 1천만원~1억
○통원: 10/20/30/50만원","○입원: 1천만원~1억
○통원: 10/20/30/50만원","○입원: 가입한도 각 5,000만원
○통원(외래/처방): 5~25만원/5~15만원","○입원: 가입한도 각 5,000만원
○통원(외래/처방): 5~25만원/5~15만원","○입원: 가입한도 각 5,000만원
○통원(외래/처방): 5~25만원/5~15만원","○입원: 가입한도 각 5,000만원
○통원(외래/처방): 5~25만원/5~15만원","○입원: 가입한도 각 5,000만원
○통원(외래/처방): 5~25만원/5~15만원","①도/체/증: 연간 350만원/50회
②비급여주사제: 연간 250만원/50회 
③비급여 MRI,MRA: 연간 300만원","입/통원(외래+처방) 합산
가입한도 각 5,000만원
(단, 통원 1회당 20만원한도)","입/통원(외래+처방) 합산
가입한도 각 5,000만원
(단, 통원 1회당 20만원한도)","①도/체/증: 연간 350만원/50회
②비급여주사제: 연간 250만원/50회 
③비급여 MRI,MRA: 연간 300만원","○입원: 가입한도 각 5,000만원
○외래(처방제외): 20만원
※  비급여 3대특약, 처방조제 제외","입/통원(외래+처방) 합산 
가입한도 각 최고 1억원
※ 요양병원, 상급병실차액 제외","상해질병 통합
요양병원 입/통원(외래+처방) 합산
가입한도 5천만원
※ 상급병실차액 제외","상해질병 통합
상급병실차액
가입한도 2천만원
※ 한방,치과치료 제외"
보상기간,사고일~180일 까지,진단확정일~180일,사고일~180일 까지,진단확정일~180일,"○입원: 진단확정일~365일
○통원: 진단확정일~365일(30회)","사고일~365일 까지
(통원 30회 한도)","○입원: 최초입원일~365일
○통원: 계약일기준 1년단위 180회 한도","○입원: 최초입원일~365일
○통원: 계약일기준 1년단위 180회 한도","○입원: 최초입원일~365일
○통원: 계약일기준 1년단위 180회 한도","○입원: 최초입원일~가입금액소진시까지
○통원: 계약일기준 1년단위180회","○입원: 최초입원일~가입금액소진시까지
○통원: 계약일기준 1년단위180회",매년 연간한도 소진시까지,"○매년 연간한도 소진시까지
○통원(외래+처방): 횟수한도 無/급여 통원 1회당 20만원","○매년 연간한도 소진시까지
○통원(외래+처방): 비급여 통원 1회당 20만원/계약일기준 연간 100회 한도",매년 연간한도 소진시까지,"○입원: 최초입원일~가입금액소진시까지
○외래(처방제외): 계약일기준 1년단위180회","○ 매년 연간한도 소진시까지
○ 통원(외래+처방): 횟수한도 無/
통원 1회당 100만원한도","○ 매년 연간한도 소진시까지
○ 통원(외래+처방): 횟수한도 無/
통원 1회당 100만원한도",매년 연간한도 소진시까지
"새로운사고
(면책기간)","없음
(180일 경과시 면책)",지급된 최종입원의 퇴원일로부터 180일 경과 후,"없음
(180일 경과시 면책)","지급된 최종입원의 
퇴원일로부터 180일 경과 후","지급된 최종입(통)원의 
퇴원/통원일로부터 
180일 경과 후","없음
(365일 경과시 면책)","○통원:없음(매년 계약해당일 기준)
○입원
 1) 2009.08~2014.03 계약: 최초입원일~365일 익일부터 90일 경과 후(면책기간 고정)
 2) 2014.04~2015.12 계약: 
  ① 365일 이상 계속 입원시 최초입원일~365일 익일부터 90일 경과 후
  ② 365일 이내 퇴원시 최종퇴원일 익일부터 180일 경과 후","○통원:없음(매년 계약해당일 기준)
○입원
 1) 2009.08~2014.03 계약: 최초입원일~365일 익일부터 90일 경과 후(면책기간 고정)
 2) 2014.04~2015.12 계약: 
  ① 365일 이상 계속 입원시 최초입원일~365일 익일부터 90일 경과 후
  ② 365일 이내 퇴원시 최종퇴원일 익일부터 180일 경과 후","○통원:없음(매년 계약해당일 기준)
○입원
 1) 2009.08~2014.03 계약: 최초입원일~365일 익일부터 90일 경과 후(면책기간 고정)
 2) 2014.04~2015.12 계약: 
  ① 365일 이상 계속 입원시 최초입원일~365일 익일부터 90일 경과 후
  ② 365일 이내 퇴원시 최종퇴원일 익일부터 180일 경과 후","○통원:  없음(매년 계약해당일 기준)
○입원
 ① 최초입원일~보상한도 종료일이 275일 이상
    : 보상한도 종료일의 익일부터 90일 경과 후
 ② 최초입원일~보상한도 종료일이 275일 이내
    : 최초입원일로부터 365일의 익일부터 가능
* 보상한도 종료일 = 가입금액한도소진","○통원:  없음(매년 계약해당일 기준)
○입원
 ① 최초입원일~보상한도 종료일이 275일 이상
    : 보상한도 종료일의 익일부터 90일 경과 후
 ② 최초입원일~보상한도 종료일이 275일 이내
    : 최초입원일로부터 365일의 익일부터 가능
  * 보상한도 종료일 = 가입금액한도소진","없음
(매년 계약해당일 기준)","없음
(매년 계약해당일 기준)","없음
(매년 계약해당일 기준)","없음
(매년 계약해당일 기준)","○외래: 없음(매년 계약해당일 기준)
○입원
 ① 최초입원일~보상한도 종료일이 275일 이상 
    : 보상한도 종료일의 익일부터 90일 경과 후
 ② 최초입원일~보상한도 종료일이 275일 이내
    : 최초입원일로부터 365일의 익일부터 가능
  * 보상한도 종료일 = 가입금액한도소진","없음
(매년 계약해당일 기준)","없음
(매년 계약해당일 기준)","없음
(매년 계약해당일 기준)"
보상비율(기준),공단포함 의료비 총액 100%,"환자부담총액 80% 
(입원실료/입원제비용/수술비)
① 500만원 (100/200/200)
② 800만원 (200/400/200)",실제본인부담금 100%,"환자부담총액 80% 
(입원실료/입원제비용/수술비)
① 500만원 (100/200/200)
② 800만원 (200/400/200)","○입원: 환자부담총액 100%
○통원: 외래+처방조제 
   공제금 적용 후 
   1일 10/20/30/50만원 한도","○입원: 환자부담총액 100%
○통원: 외래+처방조제 
   공제금 적용 후
   1일 10/20/30/50만원 한도","○입원: 실제본인부담금 90%
○통원: 외래/처방조제 각각 
   공제금액 적용 후 회당
   최대 25만원/5만원 한도
","○입원: 실제본인부담금 80%
○통원: 외래/처방조제 각각 
   공제금액 적용 후 회당
   최대 25만원/5만원 한도
","○입원: 실제본인부담금 
   급여 90%, 비급여 80%
○통원: 외래/처방조제 각각 
   공제금액 적용 후 회당
   최대 25만원/5만원 한도","표준형 ,선택형Ⅱ(좌동)","표준형 ,선택형Ⅱ(좌동)","①도수/체외충격파/증식치료:
   1회당(치료행위당)공제금 적용
   연간 350만원/50회한도
②비급여주사제: 
   입원,통원 1회당 공제금 적용 
   연간 250만원/50회 한도
③비급여 MRI,MRA: 
   1회당(검사행위)공제금 적용
   연간 300만원 한도","○입원: 급여 일부본부+전액본부 80%
○통원(외래+처방): 
   급여 실제 일부본부+전액본부 합산 
   공제금액 제외 후 20만원 한도","○입원: 비급여 실제본인부담금 70%
○통원(외래+처방): 
   비급여 실제본인부담금 합산 
   공제금액 제외 후 20만원 한도
   ※ 비급여(3대 비급여제외)","①도수/체외충격파/증식치료:
   1회당(치료행위당)공제금 적용
   연간 350만원/50회한도
②비급여주사제: 
   입원,통원 1회당 공제금 적용 
   연간 250만원/50회 한도
③비급여 MRI,MRA: 
   1회당(검사행위)공제금 적용
   연간 300만원 한도","○입원: 실제 본인부담금 70%
○외래: 실제 본인부담금 공제금액 제외 
   최대 20만원 한도
   ※ 비급여 3대특약, 처방조제 제외","○입원당 30만원, 통원당 3만원 선공제 후
 → 실제본인부담금 급여 80%, 비급여 70%
   ※ 요양병원, 상급병실료 제외","○입원당 30만원, 통원당 3만원 선공제 후
 → 실제본인부담금 급여 80%, 비급여 50%
   ※ 상급병실료 제외","상급병실차액 50%
1일 최대10만원한도
*한방,치과치료 제외"
"자기부담금
(공제금액)",0%,20%,0%,20%,"○입원: 0%
○통원: 외래+처방조제 합산
5천원/8천원/1만원 공제","○입원: 0%
○통원: 외래+처방조제 합산
5천원/8천원/1만원 공제","○입원: 10%
○통원: 외래/처방조제 각각 공제
①외래: 의원1만,병원1.5만,상급종합2만
②약제비: 8천원","○입원: 20%
○통원: 외래/처방조제 각각 공제
①외래: MAX(의원1만,병원1.5만,상급종합2만 or 보상대상의료비 20%)
②약제비: MAX(8천원 or 보상대상의료비 20%)","○입원: 급여 10%, 비급여 20%
○통원: 외래/처방조제 각각 공제
①외래: MAX(의원1만,병원1.5만,상급종합2만 or 보상대상의료비(급여10%+비급여 20%))
②약제비: MAX(8천원 or 보상대상의료비(급여10%+비급여 20%))","표준형 ,선택형Ⅱ(좌동)","표준형 ,선택형Ⅱ(좌동)",MAX(2만원 or 보상대상의료비 30%),"○입원: 20%
○통원: MAX(의원,병원 1만원/종합병원, 상급종합 2만원 or 보상대상의료비 20%)
*단, 동일사고로 2회이상 통원시 1회로 산정, 가장 높은 병원 공제금액 적용","○입원: 30%
○통원: MAX(3만원 or 보상대상의료비 30%)
*단, 동일사고로 2회이상 통원시 1회로 산정, 가장 높은 병원 공제금액 적용",MAX(3만원 or 보상대상의료비 30%),"○입원: MAX(10만원 or 보상대상의료비 30%)
○외래: MAX(2만원 or 보상대상의료비 30%)
   ※ 비급여 3대특약, 처방조제 제외","○ 입원/통원 각각 공제금액 선 차감 후
→ 급여 20%, 비급여 30% 공제비율 추가적용
①공제금액
 - 입원당: 30만원 공제
 - 통원당: 3만원 공제
 (동일사고로 하루 2회이상 통원시 1회 공제)
 *비급여에서 우선공제 후 급여에서 공제
②공제비율
 - 급여 20%, 비급여 30%","○ 입원/통원 각각 공제금액 선 차감 후
→ 급여 20%, 비급여 50% 공제비율 추가적용
①공제금액
 - 입원당: 30만원 공제
 - 통원당: 3만원 공제
 (동일사고로 하루 2회이상 통원시 1회 공제)
 *비급여에서 우선공제 후 급여에서 공제
②공제비율
 - 급여 20%, 비급여 50%",상급병실차액 50%
건보미적용,"발생의료비총액
100%","발생의료비총액 
30%","실제본인부담금
50%","발생의료비총액 
30%","환자부담총액
(통원은 공제금 차감 후)
40%","환자부담총액
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
공제금액 max(2만원 or 30%) 차감 후 
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
(통원은 공제금 차감 후)
40%","실제본인부담금 기준
공제금액 max(3만원 or 30%) 차감 후 
40%","실제본인부담금 기준
공제금액 max(입원 10만, 통원 2만 or 30%) 차감 후 
40%","실제본인부담금 기준
공제금액(입원 30만, 통원 3만) 차감 후 
40%","실제본인부담금 기준
공제금액(입원 30만, 통원 3만) 차감 후 
40%",상급병실차액 50%
병실차액,100%,면책,"면책
(단, 병실이 없어 부득이한 경우 7일 한도지급)",면책,50%-2인실기준,50%-2인실기준,50%-1일 최대10만원한도,50%-1일 최대10만원한도,50%-1일 최대10만원한도,50%-1일 최대10만원한도,50%-1일 최대10만원한도,해당없음,해당없음,"50%-1일 최대10만원한도
비급여형 특약 가입된 경우에 한하여 보상",해당없음,50%-1일 최대10만원한도,해당없음,해당없음,50%-1일 최대10만원한도
"자기부담금 
연간한도",해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,해당없음,매년 계약해당일로부터 연간 입원 급여 일부본인부담금+전액본인부담금 공제금액 200만원 초과시 가입금액 한도내 100%,해당없음,해당없음,매년 계약해당일로부터 연간 입원 본인부담금(급여+비급여(상급병실료제외)) 공제금액 200만원 초과시 가입금액 한도내 100%지급,매년 계약해당일로부터 연간 입원 본인부담금(상해/질병형 각각) 500만원 초과시 가입금액 한도내 100%,매년 계약해당일로부터 연간 입원 본인부담금 500만원 초과시 가입금액 한도내 100%,해당없음
"계속치료 중 
보험만료시",사고일~180일 까지,진단확정일~180일,사고일~180일 까지,진단확정일~180일,"○입원: 진단확정일~365일
○통원: 진단확정일~365일
          (통원 30회 한도)","사고일~365일 까지
(통원 30회 한도)","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","보험계약 종료일 익일부터 180일까지
잔여한도 금액/횟수내 보상","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","○입원: 보험계약 종료일 익일부터 180일까지
○통원: 보험계약 종료일 익일부터 180일까지 90회한","보험계약 종료일 익일부터 180일까지
잔여한도 금액/횟수내 보상","○입원: 보험계약 종료일 익일부터 180일까지
○외래: 보험계약 종료일 익일부터 180일까지 90회한",보험계약 종료일 익일부터 180일까지,보험계약 종료일 익일부터 180일까지,보험계약 종료일 익일부터 180일까지
기준의료비,의료비총액(공단+본부),환자부담총액,실제본인부담금(수납액),환자부담총액,환자부담총액,환자부담총액,실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액),실제본인부담금(수납액)
감면의료비,인정,인정,불인정,인정,인정,인정,"불인정
(단, 직원복리후생제도 감면, 국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 직원복리후생제도 감면, 국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 직원복리후생제도 감면, 국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 직원복리후생제도 감면, 국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 감면된 의료비가 근로소득에 포함 또는 
국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 감면된 의료비가 근로소득에 포함 또는 
국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 감면된 의료비가 근로소득에 포함 또는 
국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 감면된 의료비가 근로소득에 포함 또는 
국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)","불인정
(단, 감면된 의료비가 근로소득에 포함 또는 
국가 유공자 및 독립유공자 법률상 감면은 감면전 보상)",가입시기별 2~4세대 실손약관 동일,가입시기별 2~4세대 실손약관 동일,가입시기별 2~4세대 실손약관 동일,가입시기별 2~4세대 실손약관 동일
